35 - 50 Lakh,BYD Sealion 7,Rs.48.90 - 54.90 Lakh*,5 seater,82.56 kWh,567 km,,,,,,,
35 - 50 Lakh,BYD Seal,Rs.41 - 53.15 Lakh*,5 seater,82.56 kWh,650 km,,,,,,,
35 - 50 Lakh,BMW iX1,Rs.49.90 Lakh*,5 seater,66.4 kWh,531 km,,,,,,,
35 - 50 Lakh,BMW 2 Series Gran Coupe,Rs.45.30 - 47.20 Lakh*,16.35 kmpl,1499 cc,5 seater,,,,,,,
35 - 50 Lakh,Volkswagen Tiguan R-Line,Rs.45.73 Lakh*,12.58 kmpl,1984 cc,5 seater,,,,,,,
35 - 50 Lakh,Mercedes-Benz GLA,Rs.49.70 - 52.70 Lakh*,18.9 kmpl,1950 cc,5 seater,,,,,,,
35 - 50 Lakh,Isuzu MU-X,Rs.34.53 - 37.71 Lakh*,13 kmpl,1898 cc,7 seater,,,,,,,
35 - 50 Lakh,Citroen C5 Aircross,Rs.37.32 Lakh*,17.5 kmpl,1997 cc,5 seater,,,,,,,
35 - 50 Lakh,Mini Cooper 3 DOOR,Rs.42.70 Lakh*,17.33 kmpl,1998 cc,4 seater,,,,,,,
35 - 50 Lakh,Mini Cooper S,Rs.43.70 - 54.40 Lakh*,15 kmpl,1998 cc,5 seater,,,,,,,
50 Lakh - 1 Crore,Defender,Rs.98 Lakh - 2.60 Cr*,14.01 kmpl,5000 cc,7 seater,,,,,,,
50 Lakh - 1 Crore,Kia Carnival,Rs.59.42 Lakh*,14.85 kmpl,2151 cc,7 seater,,,,,,,
50 Lakh - 1 Crore,Audi A4,Rs.46.25 - 55.11 Lakh*,15 kmpl,1984 cc,5 seater,,,,,,,
50 Lakh - 1 Crore,MG Cyberster,Rs.75 Lakh*,2 seater,77 kWh,580 km,,,,,,,
50 Lakh - 1 Crore,Range Rover Velar,Rs.83.90 Lakh*,15.8 kmpl,1997 cc,5 seater,,,,,,,
50 Lakh - 1 Crore,BMW X1,Rs.50.60 - 52.20 Lakh*,20.37 kmpl,1995 cc,5 seater,,,,,,,
50 Lakh - 1 Crore,BMW X5,Rs.93.70 Lakh - 1.05 Cr*,12 kmpl,2998 cc,5 seater,,,,,,,
50 Lakh - 1 Crore,Audi Q7,Rs.86.14 - 95.03 Lakh*,11 kmpl,2995 cc,7 seater,,,,,,,
50 Lakh - 1 Crore,BMW 5 Series,Rs.72.35 Lakh*,10.9 kmpl,1998 cc,5 seater,,,,,,,
50 Lakh - 1 Crore,Volvo XC90,Rs.96.97 Lakh*,12.35 kmpl,1969 cc,7 seater,,,,,,,
50 Lakh - 1 Crore,Audi Q3,Rs.43.07 - 52.98 Lakh*,10.14 kmpl,1984 cc,5 seater,,,,,,,
50 Lakh - 1 Crore,MG M9,Rs.69.90 Lakh*,7 seater,90 kWh,548 km,,,,,,,
50 Lakh - 1 Crore,BMW Z4,Rs.87.90 - 92.60 Lakh*,8.5 kmpl,2998 cc,2 seater,,,,,,,
50 Lakh - 1 Crore,BMW X3,Rs.71.20 - 73.10 Lakh*,17.86 kmpl,1998 cc,5 seater,,,,,,,
50 Lakh - 1 Crore,Mercedes-Benz C-Class,Rs.58.65 - 64.30 Lakh*,23 kmpl,1999 cc,5 seater,,,,,,,
50 Lakh - 1 Crore,Mercedes-Benz GLC,Rs.73.95 Lakh*,19.4 kmpl,1999 cc,5 seater,,,,,,,
50 Lakh - 1 Crore,Jeep Wrangler,Rs.64.08 - 67.81 Lakh*,11.4 kmpl,1995 cc,5 seater,,,,,,,
50 Lakh - 1 Crore,BMW 3 Series,Rs.72.85 - 73.95 Lakh*,13.02 kmpl,2998 cc,5 seater,,,,,,,
50 Lakh - 1 Crore,Audi A6,Rs.63.74 - 69.89 Lakh*,14.11 kmpl,1984 cc,5 seater,,,,,,,
50 Lakh - 1 Crore,Kia EV6,Rs.65.97 Lakh*,5 seater,84 kWh,663 km,,,,,,,
50 Lakh - 1 Crore,Range Rover Evoque,Rs.64.86 Lakh*,12.82 kmpl,1997 cc,5 seater,,,,,,,
Above 1 Crore,Defender,Rs.98 Lakh - 2.60 Cr*,14.01 kmpl,5000 cc,6 seater,,,,,,,
Above 1 Crore,Range Rover,Rs.2.31 - 4.25 Cr*,13.16 kmpl,4395 cc,5 seater,,,,,,,
Above 1 Crore,BMW M5,Rs.2.01 Cr*,49.75 kmpl,4395 cc,5 seater,,,,,,,
Above 1 Crore,Toyota Land Cruiser 300,Rs.2.16 - 2.25 Cr*,11 kmpl,3346 cc,5 seater,,,,,,,
Above 1 Crore,Toyota Vellfire,Rs.1.20 - 1.30 Cr*,16 kmpl,2487 cc,7 seater,,,,,,,
Above 1 Crore,Mercedes-Benz GLS,Rs.1.32 - 1.42 Cr*,12 kmpl,2999 cc,7 seater,,,,,,,
Above 1 Crore,Lamborghini Urus,Rs.4.18 - 4.57 Cr*,5.5 kmpl,3999 cc,5 seater,,,,,,,
Above 1 Crore,BMW X7,Rs.1.25 - 1.29 Cr*,14.31 kmpl,2998 cc,6 seater,,,,,,,
Above 1 Crore,BMW X5,Rs.93.70 Lakh - 1.05 Cr*,12 kmpl,2998 cc,5 seater,,,,,,,
Above 1 Crore,Porsche 911,Rs.2 - 3.77 Cr*,10.64 kmpl,3996 cc,4 seater,,,,,,,
Above 1 Crore,Range Rover Sport,Rs.1.38 - 2.75 Cr*,4395 cc,5 seater,,,,,,,,
Above 1 Crore,BMW M2,Rs.1 Cr*,10.19 kmpl,2993 cc,4 seater,,,,,,,
Above 1 Crore,Porsche Cayenne,Rs.1.39 - 1.94 Cr*,10.8 kmpl,2894 cc,4 seater,,,,,,,
Above 1 Crore,Mercedes-Benz S-Class,Rs.1.78 - 1.88 Cr*,18 kmpl,2999 cc,5 seater,,,,,,,
Above 1 Crore,Rolls-Royce Phantom,Rs.8.99 - 10.48 Cr*,9.8 kmpl,6749 cc,5 seater,,,,,,,
Above 1 Crore,Land Rover Discovery,Rs.1.25 - 1.37 Cr*,12.37 kmpl,2997 cc,7 seater,,,,,,,
Above 1 Crore,BMW M4 Competition,Rs.1.52 Cr*,9.7 kmpl,2993 cc,4 seater,,,,,,,
Above 1 Crore,Mercedes-Benz Maybach GLS,Rs.3.17 - 3.71 Cr*,10 kmpl,3982 cc,5 seater,,,,,,,
Above 1 Crore,BMW XM,Rs.2.55 Cr*,61.9 kmpl,4395 cc,5 seater,,,,,,,
Above 1 Crore,BMW M8 Coupe Competition,Rs.2.38 Cr*,8.7 kmpl,4395 cc,5 seater,,,,,,,
Above 1 Crore,Mercedes-Benz GLE,Rs.96.15 Lakh - 1.12 Cr*,16 kmpl,2999 cc,5 seater,,,,,,,
